;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
195;7;A. (Arjan) El Fassed;M;219896;1481;GROENLINKS;4;4;24;18;52;48;4;0.0;24
196;8;C.N. (Niels) van den Berge;M;219896;488;GROENLINKS;4;4;24;18;52;48;4;0.0;24
197;9;C.E. (Corinne) de Jonge van Ellemeet;V;219896;1127;GROENLINKS;4;4;24;18;52;48;4;0.0;24
198;10;T. (Tofik) Dibi;M;219896;5400;GROENLINKS;4;4;24;18;52;48;4;0.0;24
199;11;P. (Paulus) de Wilt;M;219896;248;GROENLINKS;4;4;24;18;52;48;4;0.0;24
200;12;H. (Hayat) Barrahmun;V;219896;1440;GROENLINKS;4;4;24;18;52;48;4;0.0;24
201;13;K. (Kees) Diepeveen;M;219896;282;GROENLINKS;4;4;24;18;52;48;4;0.0;24
202;14;A.B. (Anne) Scheltema Beduin;V;219896;714;GROENLINKS;4;4;24;18;52;48;4;0.0;24
203;15;D. (Dirk) van den Bosch;M;219896;177;GROENLINKS;4;4;24;18;52;48;4;0.0;24
204;16;H. (Huri) Sahin;V;219896;860;GROENLINKS;4;4;24;18;52;48;4;0.0;24
205;17;E.M. (Lisa) Westerveld;V;219896;1458;GROENLINKS;4;4;24;18;52;48;4;0.0;24
206;18;I.M. (Inge) Vianen;V;219896;434;GROENLINKS;4;4;24;18;52;48;4;0.0;24
207;19;M.C. (Marry) Mos;V;219896;342;GROENLINKS;4;4;24;18;52;48;4;0.0;24
208;20;M.R. (Miguel) Heilbron;M;219896;326;GROENLINKS;4;4;24;18;52;48;4;0.0;24
209;21;V.A.M. (Volkert) Vintges;M;219896;245;GROENLINKS;4;4;24;18;52;48;4;0.0;24
210;22;C. (Christiaan) Kwint;M;219896;191;GROENLINKS;4;4;24;18;52;48;4;0.0;24
